Sample
Pop1_CT-1008-RG
Pop1_CT-1017-RG
Pop1_CT-170-RG
Pop1_CT-172-RG
Pop1_CT-191-RG
Pop1_CT-192-RG
Pop1_CT-2020-RG
Pop1_CT-203-RG
Pop1_CT-240-RG
Pop1_CT-244-RG
Pop1_CT-283-RG
Pop1_CT-284-RG
Pop1_CT-346-RG
Pop1_CT-349-RG
Pop1_CT-350-RG
Pop1_CT-351-RG
Pop1_CT-352-RG
Pop1_CT-402-RG
Pop1_CT-405-RG
Pop1_CT-423-RG
Pop1_CT-433-RG
Pop1_CT-434-RG
Pop1_CT-477-RG
Pop1_CT-50-RG
Pop1_CT-601-RG
Pop1_CT-602-RG
Pop1_CT-603-RG
Pop1_CT-604-RG
Pop1_CT-605-RG
Pop1_CT-606-RG
Pop1_CT-607-RG
Pop1_CT-609-RG
Pop1_CT-610-RG
Pop1_CT-611-RG
Pop1_CT-612-RG
Pop1_CT-613-RG
Pop1_CT-614-RG
Pop1_CT-615-RG
Pop1_CT-616-RG
Pop1_CT-619-RG
Pop1_CT-620-RG
Pop1_CT-621-RG
Pop1_CT-622-RG
Pop1_CT-623-RG
Pop1_CT-624-RG
Pop1_CT-625-RG
Pop1_CT-626-RG
Pop1_CT-627-RG
Pop1_CT-628-RG
Pop1_CT-629-RG
Pop1_CT-630-RG
Pop1_CT-631-RG
Pop1_CT-632-RG
Pop1_CT-633-RG
Pop1_CT-634-RG
Pop1_CT-635-RG
Pop1_CT-636-RG
Pop1_CT-637-RG
Pop1_CT-638-RG
Pop1_CT-639-RG
Pop1_CT-640-RG
Pop1_CT-641-RG
Pop1_CT-642-RG
Pop1_CT-643-RG
Pop1_CT-644-RG
Pop1_CT-645-RG
Pop1_CT-646-RG
Pop1_CT-647-RG
Pop1_CT-648-RG
Pop1_CT-649-RG
Pop1_CT-650-RG
Pop1_CT-651-RG
Pop1_CT-652-RG
Pop1_CT-653-RG
Pop1_CT-654-RG
Pop1_CT-655-RG
Pop1_CT-656-RG
Pop1_CT-657-RG
Pop1_CT-658-RG
Pop1_CT-659-RG
Pop1_CT-660-RG
Pop1_CT-661-RG
Pop1_CT-662-RG
Pop1_CT-663-RG
Pop1_CT-664-RG
Pop1_CT-665-RG
Pop1_CT-666-RG
Pop1_CT-667-RG
Pop1_CT-668-RG
Pop1_CT-669-RG
Pop1_CT-670-RG
Pop1_CT-671-RG
Pop1_CT-672-RG
Pop1_CT-673-RG
Pop1_CT-674-RG
Pop1_CT-675-RG
Pop1_CT-676-RG
Pop1_CT-677-RG
Pop1_CT-678-RG
Pop1_CT-679-RG
Pop1_CT-680-RG
Pop1_CT-681-RG
Pop1_CT-682-RG
Pop1_CT-683-RG
Pop1_CT-684-RG
Pop1_CT-685-RG
Pop1_CT-686-RG
Pop1_CT-687-RG
Pop1_CT-688-RG
Pop1_CT-689-RG
Pop1_CT-690-RG
Pop1_CT-691-RG
Pop1_CT-693-RG
Pop1_CT-694-RG
Pop1_CT-695-RG
Pop1_CT-696-RG
Pop1_CT-697-RG
Pop1_CT-698-RG
Pop1_CT-699-RG
Pop1_CT-700-RG
Pop1_CT-701-RG
Pop1_CT-702-RG
Pop1_CT-703-RG
Pop1_CT-704-RG
Pop1_CT-705-RG
Pop1_CT-706-RG
Pop1_CT-707-RG
Pop1_CT-708-RG
Pop1_CT-709-RG
Pop1_CT-710-RG
Pop1_CT-711-RG
Pop1_CT-712-RG
Pop1_CT-713-RG
Pop1_CT-714-RG
Pop1_CT-715-RG
Pop1_CT-716-RG
Pop1_CT-717-RG
Pop1_CT-718-RG
Pop1_CT-719-RG
Pop1_CT-720-RG
Pop1_CT-721-RG
Pop1_CT-723-RG
Pop1_CT-724-RG
Pop1_CT-725-RG
Pop1_CT-726-RG
Pop1_CT-727-RG
Pop1_CT-728-RG
Pop1_CT-729-RG
Pop1_CT-730-RG
Pop1_CT-731-RG
Pop1_CT-732-RG
Pop1_CT-733-RG
Pop1_CT-734-RG
Pop1_CT-735-RG
Pop1_CT-736-RG
Pop1_CT-737-RG
Pop1_CT-738-RG
Pop1_CT-739-RG
Pop1_CT-740-RG
Pop1_CT-741-RG
Pop1_CT-742-RG
Pop1_CT-743-RG
Pop1_CT-744-RG
Pop1_CT-745-RG
Pop1_CT-746-RG
Pop1_CT-747-RG
Pop1_CT-748-RG
Pop1_CT-749-RG
Pop1_CT-750-RG
Pop1_CT-751-RG
Pop1_CT-752-RG
Pop1_CT-753-RG
Pop1_CT-754-RG
Pop1_CT-755-RG
Pop1_CT-756-RG
Pop1_CT-757-RG
Pop1_CT-758-RG
Pop1_CT-759-RG
Pop1_CT-760-RG
Pop1_CT-761-RG
Pop1_CT-762-RG
Pop1_CT-763-RG
Pop1_CT-764-RG
Pop1_CT-765-RG
Pop1_CT-766-RG
Pop1_CT-767-RG
Pop1_CT-768-RG
Pop1_CT-769-RG
Pop1_CT-770-RG
Pop1_CT-772-RG
Pop1_CT-773-RG
Pop1_CT-774-RG
Pop1_CT-775-RG
Pop1_CT-776-RG
Pop1_CT-777-RG
Pop1_CT-778-RG
Pop1_CT-779-RG
Pop1_CT-780-RG
Pop1_CT-781-RG
Pop1_CT-782-RG
Pop1_CT-783-RG
Pop1_CT-784-RG
Pop1_CT-785-RG
Pop1_CT-787-RG
Pop1_CT-788-RG
Pop1_CT-789-RG
Pop1_CT-790-RG
Pop1_CT-791-RG
Pop1_CT-792-RG
Pop1_CT-793-RG
Pop1_CT-794-RG
Pop1_CT-795-RG
Pop1_CT-796-RG
Pop1_CT-797-RG
Pop1_CT-798-RG
Pop1_CT-799-RG
Pop1_CT-800-RG
Pop1_CT-801-RG
Pop1_CT-802-RG
Pop1_CT-803-RG
Pop1_CT-804-RG
Pop1_CT-805-RG
Pop1_CT-806-RG
Pop1_CT-807-RG
Pop1_CT-808-RG
Pop1_CT-809-RG
Pop1_CT-810-RG
Pop1_CT-811-RG
Pop1_CT-812-RG
Pop1_CT-813-RG
Pop1_CT-814-RG
Pop1_CT-815-RG
Pop1_CT-816-RG
Pop1_CT-817-RG
Pop1_CT-818-RG
Pop1_CT-819-RG
Pop1_CT-820-RG
Pop1_CT-821-RG
Pop1_CT-823-RG
Pop1_CT-824-RG
Pop1_CT-825-RG
Pop1_CT-826-RG
Pop1_CT-827-RG
Pop1_CT-828-RG
Pop1_CT-829-RG
Pop1_CT-830-RG
Pop1_CT-831-RG
Pop1_CT-832-RG
Pop1_CT-833-RG
Pop1_CT-834-RG
Pop1_CT-836-RG
Pop1_CT-837-RG
Pop1_CT-838-RG
Pop1_CT-839-RG
Pop1_CT-840-RG
Pop1_CT-841-RG
Pop1_CT-842-RG
Pop1_CT-843-RG
Pop1_CT-844-RG
Pop1_CT-845-RG
Pop1_CT-846-RG
Pop1_CT-847-RG
Pop1_CT-848-RG
Pop1_CT-849-RG
Pop1_CT-850-RG
Pop1_CT-851-RG
Pop1_CT-852-RG
Pop1_CT-853-RG
Pop1_CT-854-RG
Pop1_CT-855-RG
Pop1_CT-856-RG
